intencion,patron,peso
mascotas,\b(mascota(s)?|pet(s)?|perro(s)?|gato(s)?|animal(es)?|aceptan mascotas|admiten mascotas|pet friendly|petfriendly|dog|cat|animales permitidos|animales|pets allowed|pet policy)\b,2
niños,\b(niño(s)?|niña(s)?|menor(es)?|menores|niños permitidos|niños gratis|kids|child|children|kids allowed|child policy|niños aceptados|niños admitidos)\b,2
accesibilidad,\b(accesible|accesibilidad|discapacidad|silla de ruedas|wheelchair|acceso|rampa|adaptado|adaptada|adaptados|adaptadas|disabled|accessible|accessibility)\b,2
metodo_pago,\b(pago|pagar|tarjeta|efectivo|transferencia|visa|mastercard|amex|paypal|metodo de pago|forma de pago|pay|credit card|debit card|cash|bank transfer|payment method|how to pay|paying)\b,2
promocion,\b(promocion(es)?|oferta(s)?|descuento(s)?|rebaja(s)?|promo|special offer|discount|deal|rebate|sale|coupon|cupon|promo code|codigo promocional)\b,2
politica_cancelacion,\b(politica de cancelacion|cancelacion|condiciones de cancelacion|cancel policy|refund|reembolso|devolucion|cancelar sin costo|cancelar gratis|free cancellation|cancellation terms|cancellation conditions)\b,2
preferencias,\b(preferencia(s)?|preferir|preferido|preferida|preferidas|preferidos|preferencias de habitacion|room preference|room preferences|preferencias especiales|special request|special requests|peticion especial|peticiones especiales)\b,2
nombre,\b(nombre|name|titular|holder|guest name|nombre del huesped|nombre del cliente|nombre de la reserva)\b,2
correo,\b(correo|email|e-mail|mail|correo electronico|email address|correo del cliente|correo de la reserva)\b,2
telefono,\b(telefono|teléfono|celular|movil|mobile|phone|phone number|numero de telefono|numero celular|numero movil)\b,2
saludo,\b([Hh][Oo][Ll][Aa]+|[Oo]la|[Hh]olaa+|[Bb]uenas?|[Ww]enas?|k tal|qué tal|q tal|hey|[Bb]uenos d[ií]as|[Bb]uenas tardes|[Bb]uenas noches)\b,2
despedida,\b([Aa]di[oó]s+|adios|asta luego|hasta luego|gracias+|grasias|nos vemos|bye+|bai)\b,2
afirmacion,\b(s[ií]|si|sí|claro|ok|okay|vale|de acuerdo|por supuesto|afirmativo|correcto|as[ií] es|así es|seguro|confirmo|acepto|va|va que va|va bien|va perfecto|perfecto|excelente|está bien|esta bien|está correcto|esta correcto|me parece|me parece bien|me parece perfecto|me parece excelente|me parece correcto)\b,2
reservar,\b([Kk]iero|[Qq]uiero|qiero|me gustar[ií]a|deseo|reservar|resrvar|apartar|apartarr|habitaci[oó]n|habitazion|habitasion|hospedaje|hospedage|booking|bokin|apartado|apartad0|abartado|abartad0)\b.*\b(reserva(r)?|apartado|hospedaje|booking|apartar|habitaci[oó]n|habitazion|habitasion)\b,5
cancelar,\b([Cc]ancelar|kancelar|cancelarr|anular|anullar|eliminar|elminar|borrar|borar|borrarr)\b.*\b(reserva|reservacion|booking|apartado|apartad0|habitaci[oó]n|habitazion|habitasion)\b,3
modificar,\b([Cc]ambiar|cambiarrr|modifikar|modificar|modifikarr|ajustar|ajustarr|actualizar|aktualizar|modificar mi reservacion|modifikar mi reservacion|modificar reservacion|modifikar reservacion|modificar mi reserva|modifikar mi reserva|modificar reserva|modifikar reserva|puedo modificar|puedo modifikar|quiero modificar|quiero modifikar|necesito modificar|necesito modifikar)\b.*\b(reserva|reservacion|habitaci[oó]n|habitazion|habitasion|cuarto|kuarto|kwarto|quart0)\b,3
precio,\b(cu[aá]nt[o0]|cuant[o0]|cuant0|precio|precios|prezio|tarifa|costo|vale|cuánto cuesta|cuanto cuesta|$|usd|pesos|mxn)\b,2
precio_habitacion,\b(cu[aá]nt[o0]|cuant[o0]|cuant0|precio|precios|prezio|tarifa|costo|vale|cuánto cuesta|cuanto cuesta|$|usd|pesos|mxn)\b.*\b(habitaci[oó]n|habitazion|habitasion|cuarto|kwarto|quart0|noche|noxe|dia|dya)\b,2
modificar_fecha,\b([Ff]echa|fehca|fheca|dia|d[ií]a|dya|dai|cambiar la fecha|cambiar la fehca|cambiar la fheca|modificar la fecha|modificar la fehca|modificar la fheca|cambiar fecha|cambiar fehca|cambiar fheca|modificar fecha|modificar fehca|modificar fheca|cambiar el dia|cambiar el dya|cambiar el dai|modificar el dia|modificar el dya|modificar el dai|quiero cambiar la fecha|quiero cambiar la fehca|quiero cambiar la fheca|quiero cambiar el dia|quiero cambiar el dya|quiero cambiar el dai)\b,5
modificar_nombre,\b([Nn]ombre|nombr3|nomvre|nomber|titular|titullar|cambiar nombre|cambiar nombr3|cambiar nomvre|cambiar nomber|modificar nombre|modificar nombr3|modificar nomvre|modificar nomber|quiero cambiar el nombre|quiero cambiar el nombr3|quiero cambiar el nomvre|quiero cambiar el nomber|quiero modificar el nombre|quiero modificar el nombr3|quiero modificar el nomvre|quiero modificar el nomber|actualizar nombre|aktualizar nombre|actualizar titular|aktualizar titular)\b,4
modificar_habitacion,\b(habitaci[oó]n|habitazion|habitasion|habitaci0n|habitaciOn|cuarto|kuarto|kwarto|quart0|suite|suit|tipo de habitaci[oó]n|tipo de habitazion|tipo de habitasion|tipo de habitaci0n|tipo de habitaciOn|cambiar habitacion|cambiar habitazion|cambiar habitasion|cambiar habitaci0n|cambiar habitaciOn|modificar habitacion|modificar habitazion|modificar habitasion|modificar habitaci0n|modificar habitaciOn|cambiar cuarto|cambiar kuarto|cambiar kwarto|cambiar quart0|modificar cuarto|modificar kuarto|modificar kwarto|modificar quart0|cambiar suite|cambiar suit|modificar suite|modificar suit|quiero cambiar habitacion|quiero cambiar habitazion|quiero cambiar habitasion|quiero cambiar habitaci0n|quiero cambiar habitaciOn|quiero cambiar cuarto|quiero cambiar kuarto|quiero cambiar kwarto|quiero cambiar quart0|quiero cambiar suite|quiero cambiar suit)\b,4
tipo_habitacion_sencilla,\b(sencilla|simple|individual|single|hab sencilla|hab simple|hab individual|hab single)\b,1
tipo_habitacion_doble,\b(doble|matrimonial|double|para dos|hab doble|hab matrimonial|hab double)\b,1
tipo_habitacion_suite,\b(suite|lujo|premium|vip|hab suite|hab lujo|hab premium|hab vip)\b,1
servicios,\b(que servicios (incluyen|ofrecen|tienen|dan|hay)|servicios incluidos|servicios que ofrecen|servicios disponibles|que incluye|que ofrecen|que tienen|que dan|que hay|incluyen servicios|ofrecen servicios|tienen servicios|dan servicios|hay servicios|servicios|wifi|wify|wi[- ]?fi|wi[- ]?fy|internet|internett|desayuno|dsauno|desayno|spa|spaa|spaaa|piscina|pisina|piscinaa|gimnasio|gym|gimnacio|gimnacio|estacionamiento|estacionaminto|parking|parkin|parquing)\b,2
disponibilidad,\b((todavi[aá]|todabia|todavia)\s*(tienen|hay|queda(n)?|quedan|kedan)?\s*(habitaci[oó]n|habitazion|habitasion|cuarto|kwarto|quart0|suite|suit|su[ií]t|suit)(es)?( disponibles)?|hay habitaciones|hay cuartos|hay suites|quedan habitaciones|quedan cuartos|quedan suites|tienen habitaciones|tienen cuartos|tienen suites|habitaciones disponibles|cuartos disponibles|suites disponibles|queda(n)? habitaciones|queda(n)? cuartos|queda(n)? suites|habitacion disponible|cuarto disponible|suite disponible)\b,2
ubicacion,\b(d[oó]nde|donde|dondee|ubicaci[oó]n|ubicacion|ubicazion|direcci[oó]n|direccion|direczion|c[oó]mo llegar|como yegar|como llegar|komo llegar|komo yegar)\b,2
checkin_checkout,\b(hora|a que hora|a k hora|cu[aá]ndo|cuando|kuando)\b.*\b(check(-|\s)?in|chekin|checkin|chek in|entrada|entraa|entrda|check(-|\s)?out|chekout|check out|salida|salid[a]|salid4)\b,2
agradecimiento,\b(gracias+|grasias|graciiias|graciass|muy amable|mui amable|te lo agradezco|te lo agradesco|tank you|thankss|thanks|thx|tnx)\b,1
